Episode Name,Characters,Dialogue
Confrontation,Light,Huh? Who is this guy?
Confrontation,,Scene change to the Japan National Police Agency headquarters.
Confrontation,Soichiro,So this is how it all begins.
Confrontation,Matsuda,"But, sir, I don't get it. He's never actually shown his face before, right? Why would he choose to do it now?"
Confrontation,Soichiro,It must mean L's serious about this.
Confrontation,Matsuda,Hm.
Confrontation,Soichiro,"[Thinking] L, we've followed every single one of your orders. Now, it's time for you to prove what you said to the ICPO."
Confrontation,,Scene change to Light's room.
Confrontation,Lind L. Tailor (on television screen),"Criminals around the world are being murdered by a serial killer. I consider this crime to be the most atrocious act of murder in history. I will not rest until the person or persons responsible are brought to justice. Kira, I will hunt you down. I will find you."
Confrontation,Ryuk,He seems certain he'll catch you.
Confrontation,Light,"Hm. That fool. He'll never find me. [Picks up the Death Note and stands] He'll have to get this first. And as long as the police don't find it, there won't be any evidence to convict me, which means catching me will be absolutely impossible. [Relaxes in his chair] I anticipated that the police would get involved and that something like this might happen."
Confrontation,Lind L. Tailor,"Kira, I've got a pretty good idea what your motivation might be, and I can guess what you hope to achieve. However, what you're doing right now is evil."
Confrontation,,Light gasps and stands up.
Confrontation,Light,"You think…I'm evil? I am justice! I protect the innocent and those who fear evil! I'm the one who will become the god of a new world that everyone desires! All those who oppose that god, they are the ones who are truly evil!"
Confrontation,,Light opens the Death Note and readies a pen. He looks back up at the television.
Confrontation,Light,"I guess you're just too stupid, L. Too bad. This could've been a lot more interesting if you'd only been a bit smarter."
Confrontation,,Light writes Lind L. Tailor's name in large letters and laughs maniacally. He looks back at the screen.
Confrontation,Light,I'll show the world what happens when you cross me. The entire world is watching…L.
Confrontation,,Light glances at his watch.
Confrontation,Light,Five more seconds.
Confrontation,,The second hand on the watch ticks audibly as Light counts down. The camera changes between the two scenes.
Confrontation,Light,Four…three…two…one…
Confrontation,,"Lind L. Tailor collapses, dead. Light gasps then laughs maniacally."
Confrontation,Light,What's wrong? You've got nothing else to say?
Confrontation,,"Two suited men with black sunglasses remove Lind L. Tailor's body from view as Light continues to laugh. L's symbol suddenly flashes on screen, silencing Light."
Confrontation,L (through voice modifier),"Ah. I had to test this, just in case, but I-I never thought it would actually happen. Kira…it seems you can kill people without having to be there in person. I wouldn't have believed it if I hadn't just witnessed it. Listen to me, Kira. If you did, indeed, kill Lind L. Tailor, the man who you just saw die on television, I should tell you that he was an inmate whose execution was scheduled for today. That was not me."
Confrontation,Light,What?
Confrontation,L,"The police arrested him in absolute secrecy, so you wouldn't have heard of him on TV or through the internet. It appears not even you have access to information about these types of criminals."
